"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"BulletinInnerBoothTut","Inspector's Booth","监察官的工作间"
"BulletinInnerBoothTut","Shutter","百叶窗"
"BulletinInnerBoothTut","Counter","柜台"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","规则手册<br>录音<br>公告架<br>时间 &amp; 日期"
"BulletinInnerGunTut","Weapons Protocol","武器使用规则"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","当警报响起时"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","用钥匙开锁来取出武器"
"BulletinInnerGunTut","Select gun, aim and fire.","选择武器，瞄准并射击。"
"BulletinInnerGunTut","Time is short. Act fast.","留给你的时间不多。行动要快。"
"BulletinInnerFilerTut","Passport Confiscation","没收护照"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","核实阿尔坦居民的身份证"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","将护照放入没收专用的抽屉"
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","如需逮捕持有人，需在扣押前没收护照"
"BulletinInnerCriminals","Ministry of Justice","司法部"
"BulletinInnerCriminals","WANTED CRIMINALS","通缉令"
"BulletinInnerNews","NEWS","新闻"
"BulletinPagesNote","CHECK ALL<br>PAGES","阅读<br>每一页"
"CitationInner","M.O.A. CITATION","出入境管理局传讯"
"DiplomaticAuthInner","Diplomatic<br>Authorization","外交<br>授权书"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","This document authorizes named agent as a diplomatic entity of a Council of Nations member state."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PASSPORT"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Unconditional access to all named Council of Nations member states must be granted upon presentation."
"DiplomaticAuthInner","This document has no expiry.","此授权书永不失效"
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","COUNCIL OF NATIONS - SEVEN MEMBER FORUM"
"EntryPermitInner","ARSTOTZKA","阿斯托茨卡"
"EntryPermitInner","Entry Permit","入境许可证"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","此文件授予以下持有人有限制入境阿斯托茨卡的许可"
"EntryPermitInner","bearing passport number","所持护照号码"
"EntryPermitInner","Purpose","入境目的"
"EntryPermitInner","Duration","入境期限"
"EntryPermitInner","Enter by","入境日"
"EntryPermitInner","Ministry of Admission","出入境管理局"
"EntryTicketInner","Arstotzka","阿斯托茨卡"
"EntryTicketInner","ENTRY TICKET","入境凭证"
"EntryTicketInner","VALID ON","有效日"
"EzicNoteInnerOpen","READ QUICKLY","快速看完"
"EzicNoteInnerOpen","RETURN TO MESSENGER","还给信使"
"FamilyPhotoInner","HANG ON WALL","挂在墙上"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","将这张纸给申请人"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","需要伪造的<br>奥布里斯坦文件？"
"ForgeryFlyerInnerFront","""It looks so real!""","“简直以假乱真！”"
"ForgeryFlyerInnerFront","""Approved for entry!""","“入境没问题！”"
"ForgeryFlyerInnerFront","Fair rates!","价格公道！"
"ForgeryFlyerInnerFront","No questions asked!","不被问询！"
"ForgeryFlyerInnerFront","Fast turnaround!","快速做好！"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","条款见背面"
"ForgeryFlyerInnerBack","PRICING (EACH)","价格（每份）"
"ForgeryFlyerInnerBack","Passport *","护照 *"
"ForgeryFlyerInnerBack","Entry Ticket","入境凭证 *"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","客户须提供现有的奥布里斯坦护照用于修改新信息"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","在阿斯托茨卡及奥布里斯坦边境提供服务"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","如有问题请联系Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","瘦小？软弱？没力气？"
"GymFlyerInner","JOIN BEST GYM!","加入最棒的健身房！"
"GymFlyerInner","GET BIG TOWN","强 壮 堡"
"GymFlyerInner","East Grestin","东葛瑞斯汀"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","此入境者未提供文件"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","如要继续, 使用 审查 模式来审问。"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","查看今天公告的第二页以获取完整的说明。"
"IdCardInner","ARSTOTZKA IDENTITY CARD","阿斯托茨卡身份证"
"IdCardInner","DOB","生日"
"IdCardInner","HT.","身高"
"IdCardInner","WT.","体重"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","出入境管理局身份记录"
"IdentityRecordInner","NAME:","姓名："
"IdentityRecordInner","ALIAS:","别名："
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","申请人的指纹以及名字/曾用名必须与此记录吻合。"
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","身份<br>补充证明"
"IdSupplementInner","HT","身高"
"IdSupplementInner","WT","体重"
"IdSupplementInner","DESCRIPTION","特征描述"
"IdSupplementInner","THUMB","拇指指纹"
"IdSupplementInner","Keep on person","请随身携带"
"IdSupplementInner","EXP.","失效日"
"LocketInnerOpen","To Sergiu from your Elisa","至 Sergiu 你的 Elisa"
"LocketInnerOpen","I Love You Always","我永远<br>爱你"
"LoveSongInner1","YOU","你"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","你像火一样火热"
"LoveSongInner2","you","你"
"LoveSongInner2","OBJECT OF DESIRE","是我想要的"
"LoveSongInner3","YOU<br>(AGAIN)","你<br>（再一次）"
"LoveSongInner3","WRAP MY HEART IN WIRE","将我的心束缚"
"LoveSongInner4","ApPROVED","批准"
"LoveSongInner4","APPROVE MY VISA","请批准我的签证"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","入境签证"
"PassportInnerAntegria","DOB.","生日"
"PassportInnerAntegria","SEX","性别"
"PassportInnerAntegria","ISS.","签发地"
"PassportInnerAntegria","EXP.","失效日"
"PassportInnerAntegria","ANTEGRIA","安太格里亚"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","入境签证"
"PassportInnerArstotzka","DOB.","生日"
"PassportInnerArstotzka","SEX","性别"
"PassportInnerArstotzka","ISS.","签发国"
"PassportInnerArstotzka","EXP.","失效日"
"PassportInnerArstotzka","ARSTOTZKA","阿斯托茨卡"
"PassportInnerImpor","ENTRY VISA","ENTRY VISA"
"PassportInnerImpor","DOB.","DOB."
"PassportInnerImpor","SEX","SEX"
"PassportInnerImpor","ISS.","ISS."
"PassportInnerImpor","EXP.","EXP."
"PassportInnerImpor","IMPOR","印波"
"PassportInnerKolechia","ENTRY VISA","ENTRY VISA"
"PassportInnerKolechia","DOB.","DOB."
"PassportInnerKolechia","SEX","SEX"
"PassportInnerKolechia","ISS.","ISS."
"PassportInnerKolechia","EXP.","EXP."
"PassportInnerKolechia","KOLECHIA","科勒齐亚"
"PassportInnerObristan","ENTRY VISA","ENTRY VISA"
"PassportInnerObristan","DOB.","DOB."
"PassportInnerObristan","SEX","SEX"
"PassportInnerObristan","ISS.","ISS."
"PassportInnerObristan","EXP.","EXP."
"PassportInnerObristan","OBRISTAN","奥布里斯坦"
"PassportInnerRepublia","ENTRY VISA","ENTRY VISA"
"PassportInnerRepublia","DOB.","DOB."
"PassportInnerRepublia","SEX","SEX"
"PassportInnerRepublia","ISS.","ISS."
"PassportInnerRepublia","EXP.","EXP."
"PassportInnerRepublia","REPUBLIA","里帕布里亚"
"PassportInnerUnitedFed","ENTRY VISA","ENTRY VISA"
"PassportInnerUnitedFed","DOB.","DOB."
"PassportInnerUnitedFed","SEX","SEX"
"PassportInnerUnitedFed","ISS.","ISS."
"PassportInnerUnitedFed","EXP.","EXP."
"PassportInnerUnitedFed","UNITED FEDERATION","共和联邦"
"PlaqueOneInner","Ministry of Admission","出入境管理局"
"PlaqueOneInner","RECOGNITION","奖状"
"PlaqueOneInner","FOR","由于下述的贡献"
"PlaqueOneInner","HANG ON WALL","挂在墙上"
"PlaqueTwoInner","Ministry of Admission","出入境管理局"
"PlaqueTwoInner","RECOGNITION","奖状"
"PlaqueTwoInner","FOR","由于下述的贡献"
"PlaqueTwoInner","HANG ON WALL","挂在墙上"
"PoisonInnerBack","OPEN","打开"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","请勿接触粉末"
"PoisonInnerOpen1","CLOSE","CLOSE"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","将粉末放置于护照上"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","用力按压以贴紧"
"PoisonInnerOpen2","CLOSE","CLOSE"
"PoliceBadgeInner","MINISTRY OF INFORMATION","情报局"
"PoliceBadgeInner","Office of Investigation","调查司"
"PoliceBadgeInner","East Grestin Division","东葛瑞斯汀分局"
"PoliceBadgeInner","Special Investigator","特殊调查员"
"PoliceBadgeInner","MOI","情报局"
"PressPassInner","INTERNATIONAL","国际"
"PressPassInner","PRESS","新闻记者"
"PressPassInner","IDENTIFICATION","证"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","授权文件须授予持有人<br>入境阿斯托茨卡的许可"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","护照 <span>签发地</span>必须有效"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","文件必须<br>盖章"
"RulesInnerHome","Arstotzkan","Arstotzkan"
"RulesInnerHome","Ministry<span>of</span>Admission","出入境<br>管理局"
"RulesInnerHome","RULES","规则"
"RulesInnerHome","&amp;","及"
"RulesInnerHome","REGULATIONS","章程"
"RulesInnerHome","for Inspectors","为监察员所准备"
"RulesInnerHome","CONTENTS","目录"
"RulesInnerHome","PROPERTY OF","所有权属于"
"RulesInnerHome","M.O.A","出入境管理局"
"RulesInnerBasic","RULES","规则"
"RulesInnerRegion","DIPLOMATIC SEALS","外交印章"
"RulesInnerRegion","PASSPORT","护照"
"RulesInnerRegion","ISSUING CITIES","签发城市"
"RulesInnerRegionArstotzka","DISTRICTS","地区"
"RulesInnerRegionArstotzka","PASSPORT","护照"
"RulesInnerRegionArstotzka","ISSUING CITIES","签发城市"
"RulesInnerBooth","INSPECTOR'S BOOTH","监察官的工作间"
"RulesInnerBooth","Shutter","百叶窗"
"RulesInnerBooth","Counter","柜台"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","规则手册<br>录音<br>公告<br>时间 &amp; 日期"
"RulesInnerBooth","UPGRADES","升级"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","并未安装<br>任何升级"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","官方认证的"
"RulesInnerDocs","DOCUMENTS","文件"
"RulesInnerDocs","CONTENTS","目录"
"RulesInnerEntryPermit","ENTRY PERMIT","入境许可证"
"RulesInnerEntryPermit","VALID SEALS","有效印章"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","阿斯托茨卡<br>身份证"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","签发给所有阿斯托茨卡公民"
"RulesInnerIdCard","DISTRICTS","地区"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","身份<br>补充证明"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","签发给所有合格的外国公民"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","用于核实外国公民的体貌特征"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","仅当有指纹记录时核实拇指指纹"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","此文件有效期很短 - 请仔细核实失效日"
"RulesInnerAccessPermit","ACCESS PERMIT","进境许可证"
"RulesInnerAccessPermit","VALID SEALS","有效印章"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","此份文件取代了入境许可证和身份补充证明"
"RulesInnerWorkPermit","WORK PASS","工作许可"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","签发给所有合格的外国劳工"
"RulesInnerWorkPermit","VALID SEALS","有效印章"
"RulesInnerDiplomaticAuth","DIPLOMATIC","外交"
"RulesInnerDiplomaticAuth","AUTHORIZATION","授权书"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","有效印章及国家页"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","庇护<br>授予书"
"RulesInnerAsylumGrant","VALID SEALS","有效印章"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","务必核实指纹"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","疫苗接种<br>证明"
"RulesInnerVaccineCert","MINISTRY","卫生部"
"RulesInnerVaccineCert","OF","."
"RulesInnerVaccineCert","HEALTH","."
"RulesInnerVaccineCert","REGULATION DOCUMENT","正式文件"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","所有入境者需接种脊髓灰质炎疫苗"
"RulesInnerVaccineCert","NO EXCEPTIONS","概不接受例外"
"RulesInnerConfiscation","PASSPORT CONFISCATION","护照没收<br>流程"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","将护照放入没收专用抽屉"
"RulesInnerConfiscation","POLICY","政策"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","必须在扣押之前没收护照"
"RulesInnerConfiscation","MOI","信息部"
"RulesInnerLast","PROPERTY OF","所有权属于"
"RulesInnerLast","M.O.A.","出入境管理局"
"RulesInnerLast","GLORY TO ARSTOTZKA","阿斯托茨卡万岁"
"RulesInnerLast","Arstotzkan","阿斯托茨卡"
"RulesInnerLast","Ministry of Admission","出入境管理局"
"RulesInnerLast","Rules &amp; Regulations","规则及章程"
"RulesInnerLast","for Inspectors","为监察员所准备"
"RulesInnerLast","1982-1983 Edition","1982-1983版"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","严禁随意传播<br>违者必究"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","文件"
"RulesTabDocsR","DOCS","文件"
"RulesTabMapL","MAP","地图"
"RulesTabMapR","MAP","地图"
"RulesTabRulesL","RULES","规则"
"RulesTabRulesR","RULES","规则"
"RulesUpgrade0","TOGGLE INSPECT","打开审查模式"
"RulesUpgrade0","SPACE","空格键"
"RulesUpgrade1","TOGGLE STAMP BAR","打开签证戳"
"RulesUpgrade1","TAB","TAB键"
"RulesUpgrade2","RULEBOOK SHORTCUTS","规则手册快捷方式"
"RulesUpgrade3","QUICK INSPECT","快速审查"
"RulesUpgrade3","DOUBLE-CLICK","双击鼠标左键"
"SeizureSlipInner","Arstotzka Ministry of Admission","阿斯托茨卡出入境管理局"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","护照扣押单"
"SeizureSlipInner","ENTRY VISA","入境签证"
"SeizureSlipInner","Your passport has been seized.","你的护照已被扣押。"
"SeizureSlipInner","Contact 1509-6103 for redress.","如需更正，请联系1509-6103"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","科勒齐亚小水禽交配习性"
"SpyDocsInnerBack","A FULL REPORT","完整报告"
"SpyDocsInnerBack","Ministry of Information","情报局"
"TranscriptInner","AUDIO TRANSCRIPT","录音"
"VaccineCertInner","Certificate<span>of</span>Vaccination","疫苗接种<span> </span>证明"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","日期"
"VaccineCertInner","VACCINE","疫苗"
"VaccineCertInner","Vax valid for 3 years","疫苗接种后3年内有效"
"VisaSlipInner","TEMPORARY VISA SLIP","临时签证单"
"VisaSlipInner","ENTRY VISA","入境签证"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","仅用于拒签"
"WorkPermitInner","Ministry of Labor","劳动部"
"WorkPermitInner","Work Pass","工作许可"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","此许可授予持有者在特定的领域工作有限的时间的权力。"
"WorkPermitInner","HOLDER","持有人"
"WorkPermitInner","FIELD","领域"
"WorkPermitInner","UNTIL","有效期至"
"WorkPermitInner","Keep this pass with you at all times.","任何时候都请随身携带此许可。"
"EndNews","Kolechian Consensus Reached Over Grestin","与科勒齐亚就葛瑞斯汀边境问题达成一致"
"ApartmentClass","CLASS","等级"
"DetainButton","DETAIN","扣押"
"FingerprintButton","FINGERPRINT","指纹"
"SearchButton","SEARCH","搜查"
"EmblemsMOA","M.O.A","出入境管理局"
"EmblemsMOA","M.O.L","劳动局"
"EmblemsMOL","M.O.L","劳动局"
"Filer","CONFISCATED DOCUMENTS","没收的文件"
"Filer","PROPERTY OF","所有权属于"
"Filer","M.O.A.","出入境管理局"
"GiveIcon","GIVE","给"
"LoadButtonNew","NEW","新的"
"LoadDay","DAY","天"
"LoadDrag","DRAG TO SCROLL","拖拽以滚动"
"News","The Truth of Arstotzka","阿斯托茨卡真理报"
"News","No Charge","免费"
"ReasonButton","REASON","理由"
"RifleKill","KILL","致死"
"RifleTranq","TRANQ","麻醉"
"StampBarMid","ALIGN VISA BENEATH STAMP","将签证页置于签证戳下方"
"Upgrades","SPACE","空格键"
"Upgrades","TAB","TAB键"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","HANG ON WALL"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","东葛瑞斯汀"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","满足你所有的幻想"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","STAMP HERE"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","hanG on wAll"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","天气"
"news:RANDOM_SPORTS","Sports","体育"
"news:RANDOM_ENTERTAINMENT","Entertainment","娱乐"
"news:RANDOM_POLITICS","Politics","政治"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","葛瑞斯汀边检站终于设立了！"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","在6年的等待后，出入境管理局是否能够保障我们的安全？"
"news:FIRST_DAY","Families To Reunite","家人终于能团聚了"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","设立葛瑞斯汀边检站非常成功！"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","入境限制将会放松，将准许外国人入境"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","分析师们非常乐观"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","预计贸易和合作会持续增加"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","恐怖分子袭击了葛瑞斯汀！"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","疑似为科勒齐亚煽动者指使。"
"news:FIRST_TERRORISTS","Checkpoint Lockdown","边检站暂时关闭"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","更多卫兵 - 更严格的监视"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","黑市活动激增"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","政府指责入境控制不严"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","边检站扩建计划被搁置"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","工作机会少了，并会持续减少"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","移民正抢走本地人的饭碗"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","科勒齐亚领导人表示不满"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","指责毫无道理的入境搜查破坏了个人权益"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","恐怖分子再次袭击葛瑞斯汀边检站！"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","自杀式爆炸者逃过安检"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","葛瑞斯汀边境再次遭袭"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","自杀式爆炸袭击已习以为常"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","切断人口贩卖产业链！"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","葛瑞斯汀边检站监察官抓获蛇头"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","葛瑞斯汀夜店舞女被发现死亡！"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","新近移民入境的女孩成了人口贩卖的受害者"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","里帕布里亚的田径明星因谋杀而被通缉！"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","文斯▪莱斯特雷德行踪成迷 - 很可能已逃离里帕布里亚"
"news:KILLERATHLETE","Vince Lestrade: Profile","文斯▪莱斯特雷德：简介"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","因爱生恨杀死女友？"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","文斯▪莱斯特雷德在葛瑞斯汀被捕！"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","田径冠军的逃亡行为看上去的确像是畏罪潜逃"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","文斯▪莱斯特雷德在阿斯托茨卡被发现"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","文斯▪莱斯特雷德在科勒齐亚被捕！"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","科勒齐亚派出最高级别外交官"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","以稳定双边贸易为第一要务"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","科勒齐亚高官被爆竟是阿斯托茨卡间谍！"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","在检查站附近失踪，疑似死亡"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","科勒齐亚大清洗 - 斩除阿斯托茨卡间谍"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","王牌探员亦受波及"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","科勒齐亚大清洗 - 目标转向自己！"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","官员成批失踪却被指因假证据"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","出入境管理局有贼！"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","影响不大 - 仅少量物品被偷"
"news:SECRET_SOCIETY","The History of Arstotzka","阿斯托茨卡的历史"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","图文并茂 - 但大部分都是文字"
